152,92,18,50
151,93,18,49
150,89,19,50
374,555,-205,-433
149,87,18,49
150,84,20,50
158,118,-1,1
155,122,0,0
169,102,-7,0
196,106,30,-8
146,94,9,40
164,122,0,-1
156,102,-5,-3
224,90,-5,4
157,84,4,27
153,104,427,-133
144,103,-10,-11
144,79,4,37
138,105,19,8
131,102,-12,-6
136,126,-5,-5
124,98,80,-2
130,68,115,22
8,147,118,-30
143,76,0,2
201,25,0,-3
147,105,0,1
179,79,-9,-23
151,112,-38,65
141,75,17,60
157,121,0,-4
142,131,-7,-11
152,121,-2,0
159,98,-20,-4
158,114,-1,5
241,106,-31,-9
151,99,-7,-3
156,43,5,11
16,60,108,42
153,89,14,-17
261,-64,-130,77
153,16,-4,-3
178,94,14,20
768,872,-601,-794
167,33,5,72
156,81,9,-18
11,55,-153,24
107,22,7,3
164,121,-6,-5
192,129,3,-1
152,79,-1723,377
-489,205,2004,-334
196,158,71,115
198,121,-61,2
181,97,-81,-11
127,78,0,-51
40,37,-480,-343
228,91,97,3
207,15,1,-2
140,71,3,4
170,91,-70,2
68,133,21,-3
76,109,-28,-83
117,101,3,-2
119,150,-24,-77
18,66,335,52
21,99,5,0
34,90,23,16
70,77,0,0
46,16,-73,45
80,69,-2,-2
186,146,-2,0
57,208,96,100
263,108,-16,6
-19,-129,233,349
48,63,-1,1
181,96,-22,-21
286,90,16,-46
228,119,-26,24
313,76,0,0
195,124,2,0
978,-126,115,45
256,124,0,-60
111,100,6,3
248,114,-4,-51
256,61,-30,33
52,111,103,-12
137,136,20,-25
251,62,6,2
238,77,3,0
242,77,-5,0
209,104,0,-47
1037,832,-834,-706
82,109,49,7
188,70,2,-2
188,67,-13,-31
333,51,-64,-21
173,83,-98,39
-26,252,162,-171
191,93,42,-52
80,44,48,37
-125,130,237,-73
240,49,7,22
204,80,-24,-19
-2,112,-6,-5
66,43,1044,459
99,84,-4,-43
208,112,8,-12
118,49,-64,-32
241,191,-59,-17
455,194,-372,-127
134,77,30,15
140,107,11,-25
125,130,25,-18
485,139,-380,67
727,121,-535,-5
178,99,-7,9
289,-218,1410,284
242,39,-10,27
234,117,-13,0
157,104,0,0
119,18,23,58
253,97,-167,-31
239,98,-3,2
246,140,-3,-1
679,779,-695,-474
183,169,-52,-41
251,68,15,-31
234,33,14,-3
237,123,1,-4
699,63,-528,251
150,43,33,17
207,94,-336,84
276,82,-32,21
32,-217,218,315
278,88,-4,6
242,91,34,-3
193,303,159,-326
163,52,50,64
213,130,0,-7
180,124,40,-30
123,75,-34,23
259,100,-194,94
46,135,-272,-40
274,136,-18,-63
218,47,-56,72
47,146,-32,15
45,173,16,-14
31,188,0,-28
192,196,1,-7
353,135,-318,33
-95,-47,354,292
99,95,-11,-7
-27,100,17,9
52,99,115,-65
13,-39,-59,55
-154,-288,330,312
33,168,-36,-38
317,-60,216,663
109,105,6,14
280,-281,2087,2210
225,102,43,-10
37,108,5,1
115,-25,-26,110
45,34,-7,11
94,141,-1,6
6,99,-25,-18
213,88,-86,22
109,35,17,-116
83,22,-25,0
-11,-42,40,196
41,26,1,0
169,50,23,27
22,-19,46,-26
-118,257,331,-401
67,59,4,86
41,15,57,4
73,149,5,-1
24,235,110,-59
291,96,-4,0
14,33,-12,1
170,27,-18,-9
192,13,-3,0
287,1306,1811,-1194
172,46,12,-19
217,82,-53,-74
130,110,-1,8
177,15,-247,-12
196,87,-20,-71
199,51,-27,-35
141,66,98,-91
-618,618,784,-530
184,-16,-11,35
200,46,-24,-56
102,106,-8,0
168,26,-88,64
170,106,-18,13
175,216,15,-110
-29,22,292,89
151,125,-14,0
121,7,8,1
102,36,-26,3
151,127,-2,-2
240,-273,-1011,320
172,126,0,-15
86,143,284,-135
161,104,19,-41
288,-2,-98,33
203,-50,37,126
363,117,-241,-311
78,11,0,-4
206,123,103,-83
194,-119,-242,149
64,54,3,13
-241,116,303,-7
207,78,19,-32
89,14,-27,0
73,74,-243,31
140,114,8,-7
291,115,-30,-28
101,24,-48,94
43,43,402,25
201,112,8,-23
8,21,71,26
105,51,42,-14
328,68,-167,17
155,109,-3,9
332,110,-63,-13
510,222,-405,-146
-632,-123,734,195
296,379,-107,-310
89,88,-6,-1
126,43,-13,-4
146,97,23,53
35,64,-19,4
137,96,35,48
193,52,7,-3
221,173,-41,-46
436,193,-337,-117
174,115,2,-3
95,69,-14,-94
180,115,-1,0
83,58,-31,-46
-2,29,25,-33
15,11,0,-4
11,10,0,-3
106,121,40,-7
7,64,9,0
67,48,111,71
52,66,-14,0
181,55,-4,-18
180,49,7,-10
-360,-198,537,278
0,69,31,2
30,31,-174,-31
174,90,-130,201
166,91,0,59
167,93,-35,45
165,92,-142,218
123,79,5,-15
166,111,-5,-19
189,80,89,-36
146,128,28,-37
213,105,-11,-10
122,66,-5,119
126,59,-13,7
132,93,114,-224
199,100,1,0
152,100,21,5
125,113,2,-17
